time,q1_des,q1,q1_err,q2_des,q2,q2_err,q3_des,q3,q3_err,q4_des,q4,q4_err,q5_des,q5,q5_err,q6_des,q6,q6_err,q7_des,q7,q7_err,dq1_des,dq1,dq1_err,dq2_des,dq2,dq2_err,dq3_des,dq3,dq3_err,dq4_des,dq4,dq4_err,dq5_des,dq5,dq5_err,dq6_des,dq6,dq6_err,dq7_des,dq7,dq7_err,qddsafe1,qddsafe2,qddsafe3,qddsafe4,qddsafe5,qddsafe6,qddsafe7,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.100006,-0.001551,-0.001453,-0.000097,-0.556540,-0.553410,-0.003130,-0.000425,-0.000502,0.000077,-2.142808,-2.139938,-0.002870,-0.014736,-0.015016,0.000280,1.241253,1.236730,0.004523,0.718299,0.717400,0.000899,-0.001752,-0.000142,-0.001610,-0.058585,0.001683,-0.060268,0.001411,0.000744,0.000666,-0.053191,0.000696,-0.053888,0.005100,-0.002085,0.007184,0.083819,-0.000457,0.084276,0.016697,-0.001915,0.018612,-0.014921,-0.499010,0.012018,-0.453065,0.043437,0.713945,0.142217,0.011651,-0.608742,0.020679,0.010128,0.002185,0.019029,0.003761
0.104717,-0.001551,-0.001453,-0.000097,-0.556540,-0.553414,-0.003125,-0.000425,-0.000505,0.000080,-2.142808,-2.139942,-0.002866,-0.014736,-0.015010,0.000273,1.241253,1.236730,0.004522,0.718299,0.717409,0.000890,-0.001752,-0.000109,-0.001643,-0.058585,-0.001170,-0.057415,0.001411,-0.002132,0.003543,-0.053191,0.000390,-0.053581,0.005100,0.001495,0.003605,0.083819,0.000528,0.083292,0.016697,0.000511,0.016185,-0.014921,-0.499010,0.012018,-0.453065,0.043437,0.713945,0.142217,0.011569,-0.609519,0.022182,0.008279,0.001387,0.019924,0.003654
0.109935,-0.001569,-0.001453,-0.000115,-0.557145,-0.553414,-0.003730,-0.000410,-0.000505,0.000095,-2.143357,-2.139942,-0.003415,-0.014683,-0.015010,0.000326,1.242118,1.236730,0.005388,0.718472,0.717409,0.001062,-0.001898,-0.000109,-0.001789,-0.063471,-0.001170,-0.062300,0.001529,-0.002132,0.003661,-0.057627,0.000390,-0.058017,0.005525,0.001495,0.004030,0.090809,0.000528,0.090281,0.018089,0.000511,0.017578,-0.014548,-0.486524,0.011717,-0.441728,0.042351,0.696080,0.138658,0.010976,-0.604468,0.021956,-0.001258,0.001786,0.024312,0.003994
0.115036,-0.001569,-0.001453,-0.000115,-0.557145,-0.553414,-0.003730,-0.000410,-0.000505,0.000095,-2.143357,-2.139942,-0.003415,-0.014683,-0.015010,0.000326,1.242118,1.236730,0.005388,0.718472,0.717409,0.001062,-0.001898,-0.000109,-0.001789,-0.063471,-0.001170,-0.062300,0.001529,-0.002132,0.003661,-0.057627,0.000390,-0.058017,0.005525,0.001495,0.004030,0.090809,0.000528,0.090281,0.018089,0.000511,0.017578,-0.014548,-0.486524,0.011717,-0.441728,0.042351,0.696080,0.138658,0.010896,-0.607148,0.022075,-0.003736,0.001889,0.025605,0.004110
0.120082,-0.001589,-0.001453,-0.000136,-0.557829,-0.553414,-0.004415,-0.000394,-0.000505,0.000111,-2.143979,-2.139942,-0.004037,-0.014624,-0.015010,0.000386,1.243098,1.236730,0.006368,0.718667,0.717409,0.001258,-0.002047,-0.000109,-0.001938,-0.068452,-0.001170,-0.067282,0.001649,-0.002132,0.003781,-0.062149,0.000390,-0.062539,0.005959,0.001495,0.004464,0.097935,0.000528,0.097408,0.019509,0.000511,0.018997,-0.014157,-0.473453,0.011403,-0.429861,0.041213,0.677380,0.134933,0.010245,-0.602858,0.021858,-0.014620,0.002355,0.030673,0.004505
0.125223,-0.001589,-0.001453,-0.000136,-0.557829,-0.553414,-0.004415,-0.000394,-0.000505,0.000111,-2.143979,-2.139942,-0.004037,-0.014624,-0.015010,0.000386,1.243098,1.236730,0.006368,0.718667,0.717409,0.001258,-0.002047,-0.000109,-0.001938,-0.068452,-0.001170,-0.067282,0.001649,-0.002132,0.003781,-0.062149,0.000390,-0.062539,0.005959,0.001495,0.004464,0.097935,0.000528,0.097408,0.019509,0.000511,0.018997,-0.014157,-0.473453,0.011403,-0.429861,0.041213,0.677380,0.134933,0.010155,-0.605895,0.021986,-0.017423,0.002474,0.032136,0.004636
0.130580,-0.001610,-0.001453,-0.000156,-0.558511,-0.553414,-0.005097,-0.000377,-0.000505,0.000128,-2.144598,-2.139942,-0.004656,-0.014564,-0.015010,0.000445,1.244073,1.236730,0.007343,0.718861,0.717409,0.001452,-0.002182,-0.000109,-0.002072,-0.072958,-0.001170,-0.071788,0.001757,-0.002132,0.003889,-0.066241,0.000390,-0.066631,0.006351,0.001495,0.004856,0.104383,0.000528,0.103855,0.020793,0.000511,0.020281,-0.013794,-0.461309,0.011110,-0.418835,0.040156,0.660006,0.131472,0.009500,-0.603573,0.021832,-0.029051,0.002979,0.037641,0.005071
0.135217,-0.001610,-0.001451,-0.000158,-0.558511,-0.553409,-0.005102,-0.000377,-0.000501,0.000124,-2.144598,-2.139946,-0.004652,-0.014564,-0.015012,0.000447,1.244073,1.236730,0.007343,0.718861,0.717403,0.001458,-0.002182,0.000560,-0.002742,-0.072958,0.000233,-0.073191,0.001757,0.000839,0.000919,-0.066241,-0.001110,-0.065130,0.006351,-0.000824,0.007175,0.104383,-0.000294,0.104677,0.020793,0.000879,0.019914,-0.013794,-0.461309,0.011110,-0.418835,0.040156,0.660006,0.131472,0.008963,-0.607563,0.019994,-0.030842,0.003862,0.039280,0.005167
0.139741,-0.001632,-0.001451,-0.000181,-0.559263,-0.553409,-0.005854,-0.000359,-0.000501,0.000142,-2.145281,-2.139946,-0.005335,-0.014499,-0.015012,0.000513,1.245149,1.236730,0.008420,0.719075,0.717403,0.001672,-0.002318,0.000560,-0.002878,-0.077506,0.000233,-0.077739,0.001867,0.000839,0.001028,-0.070370,-0.001110,-0.069260,0.006747,-0.000824,0.007570,0.110890,-0.000294,0.111184,0.022089,0.000879,0.021210,-0.013417,-0.448720,0.010807,-0.407405,0.039060,0.641994,0.127884,0.008252,-0.605753,0.019771,-0.043368,0.004442,0.045259,0.005638
0.144912,-0.001632,-0.001451,-0.000181,-0.559263,-0.553409,-0.005854,-0.000359,-0.000501,0.000142,-2.145281,-2.139946,-0.005335,-0.014499,-0.015012,0.000513,1.245149,1.236730,0.008420,0.719075,0.717403,0.001672,-0.002318,0.000560,-0.002878,-0.077506,0.000233,-0.077739,0.001867,0.000839,0.001028,-0.070370,-0.001110,-0.069260,0.006747,-0.000824,0.007570,0.110890,-0.000294,0.111184,0.022089,0.000879,0.021210,-0.013417,-0.448720,0.010807,-0.407405,0.039060,0.641994,0.127884,0.008125,-0.609485,0.019840,-0.046730,0.004620,0.047043,0.005795
0.149971,-0.001656,-0.001451,-0.000204,-0.560061,-0.553409,-0.006652,-0.000340,-0.000501,0.000161,-2.146005,-2.139946,-0.006059,-0.014430,-0.015012,0.000582,1.246291,1.236730,0.009561,0.719303,0.717403,0.001899,-0.002450,0.000560,-0.003010,-0.081932,0.000233,-0.082166,0.001973,0.000839,0.001135,-0.074388,-0.001110,-0.073278,0.007132,-0.000824,0.007956,0.117222,-0.000294,0.117517,0.023350,0.000879,0.022471,-0.013040,-0.436120,0.010503,-0.395965,0.037963,0.623966,0.124293,0.007361,-0.609367,0.019656,-0.060802,0.005279,0.053835,0.006334
0.155055,-0.001656,-0.001451,-0.000204,-0.560061,-0.553409,-0.006652,-0.000340,-0.000501,0.000161,-2.146005,-2.139946,-0.006059,-0.014430,-0.015012,0.000582,1.246291,1.236730,0.009561,0.719303,0.717403,0.001899,-0.002450,0.000560,-0.003010,-0.081932,0.000233,-0.082166,0.001973,0.000839,0.001135,-0.074388,-0.001110,-0.073278,0.007132,-0.000824,0.007956,0.117222,-0.000294,0.117517,0.023350,0.000879,0.022471,-0.013040,-0.436120,0.010503,-0.395965,0.037963,0.623966,0.124293,0.007225,-0.613409,0.019733,-0.064446,0.005471,0.055767,0.006503
0.160037,-0.001681,-0.001451,-0.000230,-0.560905,-0.553409,-0.007496,-0.000320,-0.000501,0.000181,-2.146771,-2.139946,-0.006826,-0.014356,-0.015012,0.000656,1.247499,1.236730,0.010769,0.719543,0.717403,0.002140,-0.002579,0.000560,-0.003139,-0.086247,0.000233,-0.086480,0.002077,0.000839,0.001239,-0.078306,-0.001110,-0.077196,0.007508,-0.000824,0.008331,0.123395,-0.000294,0.123690,0.024580,0.000879,0.023701,-0.012662,-0.423476,0.010199,-0.384485,0.036862,0.605876,0.120689,0.006422,-0.614547,0.019578,-0.079708,0.006190,0.063182,0.007093
0.164838,-0.001681,-0.001451,-0.000230,-0.560905,-0.553409,-0.007496,-0.000320,-0.000501,0.000181,-2.146771,-2.139946,-0.006826,-0.014356,-0.015012,0.000656,1.247499,1.236730,0.010769,0.719543,0.717403,0.002140,-0.002579,0.000560,-0.003139,-0.086247,0.000233,-0.086480,0.002077,0.000839,0.001239,-0.078306,-0.001110,-0.077196,0.007508,-0.000824,0.008331,0.123395,-0.000294,0.123690,0.024580,0.000879,0.023701,-0.012662,-0.423476,0.010199,-0.384485,0.036862,0.605876,0.120689,0.006282,-0.618721,0.019659,-0.083473,0.006387,0.065176,0.007267
0.170091,-0.001707,-0.001455,-0.000252,-0.561782,-0.553414,-0.008368,-0.000299,-0.000507,0.000208,-2.147568,-2.139939,-0.007628,-0.014280,-0.015010,0.000730,1.248753,1.236734,0.012020,0.719793,0.717403,0.002391,-0.002703,-0.001112,-0.001591,-0.090390,0.001050,-0.091440,0.002177,-0.000054,0.002231,-0.082067,0.001044,-0.083111,0.007868,0.000834,0.007034,0.129322,0.002736,0.126586,0.025761,-0.000014,0.025775,-0.012288,-0.410970,0.009898,-0.373130,0.035774,0.587984,0.117125,0.006838,-0.622165,0.020336,-0.101937,0.006488,0.072485,0.008042
0.174824,-0.001707,-0.001455,-0.000252,-0.561782,-0.553414,-0.008368,-0.000299,-0.000507,0.000208,-2.147568,-2.139939,-0.007628,-0.014280,-0.015010,0.000730,1.248753,1.236734,0.012020,0.719793,0.717403,0.002391,-0.002703,-0.001112,-0.001591,-0.090390,0.001050,-0.091440,0.002177,-0.000054,0.002231,-0.082067,0.001044,-0.083111,0.007868,0.000834,0.007034,0.129322,0.002736,0.126586,0.025761,-0.000014,0.025775,-0.012288,-0.410970,0.009898,-0.373130,0.035774,0.587984,0.117125,0.006730,-0.626610,0.020446,-0.105983,0.006678,0.074577,0.008230
0.179877,-0.001735,-0.001455,-0.000280,-0.562707,-0.553414,-0.009292,-0.000276,-0.000507,0.000231,-2.148407,-2.139939,-0.008468,-0.014199,-0.015010,0.000810,1.250076,1.236734,0.013342,0.720057,0.717403,0.002654,-0.002824,-0.001112,-0.001712,-0.094437,0.001050,-0.095488,0.002274,-0.000054,0.002329,-0.085742,0.001044,-0.086786,0.008221,0.000834,0.007387,0.135113,0.002736,0.132377,0.026914,-0.000014,0.026929,-0.011912,-0.398372,0.009594,-0.361692,0.034677,0.569959,0.113535,0.005884,-0.630679,0.020385,-0.123893,0.007508,0.083332,0.008937
0.184729,-0.001735,-0.001455,-0.000280,-0.562707,-0.553414,-0.009292,-0.000276,-0.000507,0.000231,-2.148407,-2.139939,-0.008468,-0.014199,-0.015010,0.000810,1.250076,1.236734,0.013342,0.720057,0.717403,0.002654,-0.002824,-0.001112,-0.001712,-0.094437,0.001050,-0.095488,0.002274,-0.000054,0.002329,-0.085742,0.001044,-0.086786,0.008221,0.000834,0.007387,0.135113,0.002736,0.132377,0.026914,-0.000014,0.026929,-0.011912,-0.398372,0.009594,-0.361692,0.034677,0.569959,0.113535,0.005762,-0.635625,0.020507,-0.128394,0.007721,0.085662,0.009145
0.189793,-0.001764,-0.001455,-0.000309,-0.563670,-0.553414,-0.010256,-0.000253,-0.000507,0.000254,-2.149282,-2.139939,-0.009343,-0.014115,-0.015010,0.000894,1.251455,1.236734,0.014721,0.720331,0.717403,0.002929,-0.002941,-0.001112,-0.001829,-0.098357,0.001050,-0.099407,0.002369,-0.000054,0.002423,-0.089301,0.001044,-0.090345,0.008562,0.000834,0.007728,0.140721,0.002736,0.137985,0.028031,-0.000014,0.028046,-0.011535,-0.385780,0.009291,-0.350260,0.033581,0.551945,0.109946,0.004873,-0.641140,0.020482,-0.147608,0.008617,0.095102,0.009908
0.195913,-0.001764,-0.001455,-0.000309,-0.563670,-0.553414,-0.010256,-0.000253,-0.000507,0.000254,-2.149282,-2.139939,-0.009343,-0.014115,-0.015010,0.000894,1.251455,1.236734,0.014721,0.720331,0.717403,0.002929,-0.002941,-0.001112,-0.001829,-0.098357,0.001050,-0.099407,0.002369,-0.000054,0.002423,-0.089301,0.001044,-0.090345,0.008562,0.000834,0.007728,0.140721,0.002736,0.137985,0.028031,-0.000014,0.028046,-0.011535,-0.385780,0.009291,-0.350260,0.033581,0.551945,0.109946,0.004706,-0.647803,0.020646,-0.153672,0.008904,0.098244,0.010188
0.200103,-0.001794,-0.001455,-0.000339,-0.564677,-0.553414,-0.011262,-0.000229,-0.000507,0.000278,-2.150196,-2.139939,-0.010256,-0.014028,-0.015010,0.000982,1.252894,1.236734,0.016161,0.720618,0.717403,0.003216,-0.003055,-0.001112,-0.001943,-0.102165,0.001050,-0.103215,0.002461,-0.000054,0.002515,-0.092758,0.001044,-0.093802,0.008893,0.000834,0.008059,0.146169,0.002736,0.143433,0.029117,-0.000014,0.029131,-0.011157,-0.373141,0.008987,-0.338785,0.032481,0.533862,0.106344,0.003791,-0.653958,0.020634,-0.173519,0.009835,0.108021,0.010976
0.204934,-0.001794,-0.001452,-0.000342,-0.564677,-0.553416,-0.011260,-0.000229,-0.000504,0.000275,-2.150196,-2.139952,-0.010243,-0.014028,-0.015008,0.000980,1.252894,1.236734,0.016160,0.720618,0.717399,0.003219,-0.003055,0.000081,-0.003136,-0.102165,-0.001252,-0.100912,0.002461,-0.000676,0.003136,-0.092758,-0.001066,-0.091692,0.008893,0.001325,0.007568,0.146169,-0.000303,0.146473,0.029117,-0.000872,0.029988,-0.011157,-0.373141,0.008987,-0.338785,0.032481,0.533862,0.106344,0.002430,-0.657301,0.021347,-0.176420,0.009828,0.111678,0.011358
